event_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10성 이하에서 스타포스 강화 성공 시 1+1 강화,,+98일,+49일,+140일,+63일,+98일,+49일,+63일,+119일,+98일,+77일,+42일,+77일,+126일,+63일,+49일,+49일,+49일,+49일,+154일,+77일,+56일,+84일,+60일,+52일,+77일,+35일,,,,,,,,,,,,,,,,,,,,
99콤보 마다 콤보킬 구슬 추가 생성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강력한 환생의 불꽃 5개 사용 시마다 1개 지급(월드 당 최대 10개),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 2배,하루 종일,+364일,+196일,+903일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 2배 쿠폰(15분) 4장 지급,,+7일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 2배 쿠폰(30분) 2장 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 2배 쿠폰(30분) 3장 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 2배 쿠폰(30분) 4장 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 3배 쿠폰(15분) 2장 지급,,+63일,+70일,+1799일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 3배 쿠폰(15분) 3장 지급,,+14일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 3배 쿠폰(15분) 5장 지급,,+91일,+98일,+70일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경험치 3배 쿠폰(30분) 4장 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데미지 스킨 선택 지급,샤방샤방/샤방샤방(Ver.2,+210일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션 일일 클리어 가능 횟수 2배(3회→6회),,+105일,+70일,+70일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션 일일 클리어 가능 횟수 3배(3회→9회),,+224일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션 일일 클리어 가능 횟수 5배(3회→15회),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션 클리어 경험치 2배,,+105일,+70일,+70일,+154일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션 클리어 경험치 3배,,+140일,+224일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돌발미션이 더욱 자주 발생,,+224일,+224일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레이디 블레어의 코디 타임,,,+175일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
룬 경험치 버프 지속시간 2배(3분→6분),,+98일,+56일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
룬 경험치 버프 효과 +100%,,+98일,+140일,+84일,+70일,+77일,+70일,+308일,+49일,+77일,+63일,+42일,+21일,+35일,+56일,+42일,+35일,+42일,+35일,+70일,+21일,+28일,+28일,+28일,+28일,+28일,+28일,+28일,+49일,+49일,+42일,+49일,+35일,+42일,+35일,+42일,+35일,+14일,+42일,+21일,+14일,+35일,+28일,+42일,+14일,+28일,+28일
메가 버닝 부스터 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메이플 유니온 일일퀘스트 코인 지급량 7배,,+147일,+189일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메이플 유니온 프리셋 쿠폰 1개 지급,,+147일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메이플 유니온 프리셋 쿠폰 2개 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 컬렉션 '의문의 모몽' 1개 지급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 컬렉션 '의문의 모몽' 3개 지급,,+364일,+42일,+133일,+175일,+42일,+119일,+147일,+49일,+21일,+56일,+105일,+63일,+147일,+35일,+105일,+84일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 컬렉션 신규 몬스터 등록 확률 추가 100%,,+126일,+189일,+168일,+196일,+42일,+133일,+175일,+42일,+56일,+63일,+147일,+49일,+21일,+56일,+105일,+63일,+119일,+28일,+35일,+105일,+84일,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 컬렉션 탐험 필요 시간 50% 단축,,+126일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 파크 클리어 경험치 추가 50%,,+77일,+287일,+168일,+70일,+56일,+63일,+77일,+14일,+28일,+98일,+70일,+49일,+14일,+49일,+91일,+84일,+105일,+49일,+14일,+28일,+21일,+42일,+42일,+56일,+14일,+35일,+35일,+21일,,,,,,,,,,,,,,,,,,
몬스터파크 클리어 시 성장의 일요일 상자 지급량 2배,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미라클 타임,오전 10시~오후 10시,+364일,+371일,+357일,오전 8시~오후 11시 30분,+189일,오전 8시~오후 11시 30분,+182일,+182일,오전 7시~오후 11시 30분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"버닝 필드 더 빠른 버닝 단계 상승, 버닝 단계 유지 시간 증가",,+84일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
버닝 필드 최고 15단계까지 상승,,+84일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보스파티 결성 버프 효과 증가(10%→30%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불꽃늑대 퇴장 시 획득하는 경험치 1.5배,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
